Name,Type,Compatibility,OAI-PMH,website
"South African Journal of Sports Medicine",Journal,collected from a compatible aggregator,,http://journals.assaf.org.za/index.php/sajsm/index
"Catallaxy",Journal,collected from a compatible aggregator,,http://catallaxy.pl/
"Журнал Белорусского государственного университета: Математика, информатика",Journal,collected from a compatible aggregator,,https://journals.bsu.by/index.php/mathematics
"Journal für Kulturpflanzen",Journal,collected from a compatible aggregator,,https://ojs.openagrar.de/index.php/Kulturpflanzenjournal
"International Journal of Comparative Literature and Translation Studies",Journal,collected from a compatible aggregator,,http://www.journals.aiac.org.au/index.php/IJCLTS
"Ortopediâ, Travmatologiâ i Vosstanovitelʹnaâ Hirurgiâ Detskogo Vozrasta",Journal,collected from a compatible aggregator,,http://journals.eco-vector.com/index.php/turner/
"Financial Theory and Practice",Journal,collected from a compatible aggregator,,http://www.fintp.hr/
"Journal of Women's Health and Gynecology",Journal,collected from a compatible aggregator,,http://www.jscholaronline.org/journals/journal-of-womens-health-and-gynecology/jhome.php
"International Journal of Lightweight Materials and Manufacture",Journal,collected from a compatible aggregator,,http://www.keaipublishing.com/en/journals/international-journal-of-lightweight-materials-and-manufacture/
"Fikrah: Jurnal Ilmu Aqidah dan Studi Keagamaan",Journal,collected from a compatible aggregator,,http://journal.stainkudus.ac.id/index.php/Fikrah/index
"راهبرد مدیریت مالی",Journal,collected from a compatible aggregator,,http://jfm.alzahra.ac.ir/
"Asia &amp; the Pacific Policy Studies",Journal,collected from a compatible aggregator,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2050-2680
"Thrombosis Journal",Journal,collected from a compatible aggregator,,http://www.thrombosisjournal.com/
"Rekayasa",Journal,collected from a compatible aggregator,,https://journal.trunojoyo.ac.id/rekayasa
"Kościół i Prawo",Journal,collected from a compatible aggregator,,http://czasopisma.tnkul.pl/index.php/kip/index
"BioPsychoSocial Medicine",Journal,collected from a compatible aggregator,,http://www.bpsmedicine.com/
"Hepatitis Monthly",Journal,collected from a compatible aggregator,,http://www.hepmon.ir
"Journal Sampurasun",Journal,collected from a compatible aggregator,,https://journal.unpas.ac.id/index.php/sampurasun
"Advances in Biology",Journal,collected from a compatible aggregator,,https://www.hindawi.com/journals/ab/
"Studies in 20th &amp; 21st Century Literature",Journal,collected from a compatible aggregator,,http://newprairiepress.org/sttcl/
"The School of Public Policy Publications",Journal,collected from a compatible aggregator,,https://journalhosting.ucalgary.ca/index.php/sppp/index
"Human Remains and Violence",Journal,collected from a compatible aggregator,,https://www.manchesteropenhive.com/view/journals/hrv/hrv-overview.xml
"Frontiers in Marine Science",Journal,collected from a compatible aggregator,,http://www.frontiersin.org/Marine_Science
"Dirosat: Journal of Islamic Studies",Journal,collected from a compatible aggregator,,http://ejournal.idia.ac.id/index.php/dirosat/index
"Jurnal Riset Akuntansi Terpadu",Journal,collected from a compatible aggregator,,http://jurnal.untirta.ac.id/index.php/JRAT/index
"Massekultur &amp; Medier",Journal,collected from a compatible aggregator,,http://ojs.statsbiblioteket.dk/index.php/masmed/index
"Faṣlnāmah-i Pizhūhish-i Huqūq-i Khuṣūṣī",Journal,collected from a compatible aggregator,,http://jplr.atu.ac.ir/
"Obŝaâ Reanimatologiâ",Journal,collected from a compatible aggregator,,http://www.reanimatology.com
"Health, Culture and Society",Journal,collected from a compatible aggregator,,http://hcs.pitt.edu
"Neurointervention",Journal,collected from a compatible aggregator,,https://neurointervention.org/
"Dixit",Journal,collected from a compatible aggregator,,http://revistas.ucu.edu.uy/index.php/revistadixit
"Perichoresis: The Theological Journal of Emanuel University",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/perc
"Kerala Journal of Ophthalmology",Journal,collected from a compatible aggregator,,http://www.kjophthal.com
"Small Business International Review",Journal,collected from a compatible aggregator,,https://sbir.upct.es
"Revista Brasileira de Plantas Medicinais",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=1516-0572&amp;lng=en&amp;nrm=iso
"Revista da Escola de Enfermagem da USP",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=0080-6234&amp;lng=en&amp;nrm=iso
