Jurnal Ilmiah Agrosains Tropis	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/JIAT/
Jurnal Agroteknotropika	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/JATT/
Jambura Law Review	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jalrev/
Jambura Journal of Mathematics Education	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jmathedu/
Jambura Edu Biosfer Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/edubiosfer/
Jambura Nursing Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jnj/
Jambura Journal of Educational Chemistry	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjec/
Nazhruna: Jurnal Pendidikan Islam	Journal	collected from a compatible aggregator		http://e-journal.ikhac.ac.id/index.php/NAZHRUNA/index
Al-Tsiqoh	Journal	collected from a compatible aggregator		http://e-journal.ikhac.ac.id/index.php/altsiqoh1/index
Nidhomul Haq : Jurnal Manajemen Pendidikan Islam	Journal	collected from a compatible aggregator		http://e-journal.ikhac.ac.id/index.php/nidhomulhaq/index
Alsuna: Journal of Arabic and English Language	Journal	collected from a compatible aggregator		http://e-journal.ikhac.ac.id/index.php/alsuna/index
Stephan Mueller Special Publication Series (SMSPS	Journal	collected from a compatible aggregator		http://www.stephan-mueller-special-publication-series.net/
Climate of the Past (CP)	Journal	collected from a compatible aggregator		http://www.climate-of-the-past.net/
Archives Animal Breeding (AAB)	Journal	collected from a compatible aggregator		http://www.archives-animal-breeding.net/
Proceedings of the International Association of Hydrological Sciences (PIAHS)	Journal	collected from a compatible aggregator		http://www.proceedings-international-association-of-hydrological-sciences.net/
Scientific Drilling (SD)	Journal	collected from a compatible aggregator		http://www.scientific-drilling.net/
Advances in Science and Research (ASR)	Journal	collected from a compatible aggregator		http://www.advances-in-science-and-research.net/
Earth System Science Data (ESSD)	Journal	collected from a compatible aggregator		http://www.earth-system-science-data.net/
Annales Geophysicae (ANGEO)	Journal	collected from a compatible aggregator		http://www.annales-geophysicae.net/
History of Geo- and Space Sciences (HGSS)	Journal	collected from a compatible aggregator		http://www.history-of-geo-and-space-sciences.net/
Journal of Bone and Joint Infection (JBJI)	Journal	collected from a compatible aggregator		https://www.journal-of-bone-and-joint-infection.net
ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences	Journal	collected from a compatible aggregator		http://www.isprs.org/publications/archives.aspx
The Cryosphere (TC)	Journal	collected from a compatible aggregator		http://www.the-cryosphere.net/
Pattern Recognition in Physics	Journal	collected from a compatible aggregator		http://www.pattern-recogn-phys.net/
Hydrology and Earth System Sciences (HESS)	Journal	collected from a compatible aggregator		http://www.hydrology-and-earth-system-sciences.net/
Ocean Science (OS)	Journal	collected from a compatible aggregator		http://www.ocean-science.net/
Wind Energy Science	Journal	collected from a compatible aggregator		http://wind-energy-science.net/
Geographica Helvetica	Journal	collected from a compatible aggregator		http://www.geographica-helvetica.net/
Nonlinear Processes in Geophysics (NPG)	Journal	collected from a compatible aggregator		http://www.nonlinear-processes-in-geophysics.net/
Natural Hazards and Earth System Sciences (NHESS)	Journal	collected from a compatible aggregator		http://www.natural-hazards-and-earth-system-sciences.net/
Advances in Geosciences (ADGEO)	Journal	collected from a compatible aggregator		http://www.advances-in-geosciences.net/
ASTRA Proceedings (AP)	Journal	collected from a compatible aggregator		http://www.astra-proceedings.net/
AGILE: GIScience Series (AGILE-GISS)	Journal	collected from a compatible aggregator		https://www.agile-giscience-series.net/
Atmospheric Chemistry and Physics (ACP)	Journal	collected from a compatible aggregator		http://www.atmospheric-chemistry-and-physics.net/
Atmospheric Measurement Techniques (AMT)	Journal	collected from a compatible aggregator		http://www.atmospheric-measurement-techniques.net/
