1	Australian Research Repositories Online to the World Project (ARROW)		arrow.edu.au	consortium	Australia	Fedora	
2	Austrian Centre for Digital Humanities, Graz	Geisteswissenschaftliches Asset Management System	uni-graz.at	academic	Austria	Fedora	3.x
3	AUT University	Tuwhera Open Repository	aut.ac.nz	academic	New Zealand	DSpace	7.x
4	Autonoma Virtua - Biblioteca Digital		cuao.edu.co	academic	Brazil	DSpace	
5	Autoridad Nacional del Agua	Repositorio Digital de Recursos Hidricos	ana.gob.pe	government	Peru	DSpace	6.x
6	Azerbaijan University of Languages		adu.edu.az	academic	Azerbaijan	DSpace	5.x
7	Azerbaijan University of Languages	AUL Library Digital Repository	adu.edu.az	academic	Azerbaijan	DSpace	5.x
8	B N M INSTITUTE OF TECHNOLOGY		bnmit.org	academic	India	DSpace	1.x
9	Babylon university		dspace.org	academic	Iraq	DSpace	1.x
10	Bahçeşehir University	https://library.bahcesehir.edu.tr/	bahcesehir.edu.tr	academic	Turkey	DSpace	4.x
11	Bahçeşehir University		bahcesehir.edu.tr	academic	Turkey	DSpace	4.x
12	Bahir Dar Institute of Technology			academic	Ethiopia	DSpace	
13	Bahria University Islamabad		115.186.151.147	academic	Pakistan	DSpace	1.x
14	Baker IDI Research Online		bakeridi.edu.au		Australia	DSpace	1.x
15	Bakırçay University	Bakırçay University Institutional Repository	bakircay.edu.tr	academic	Turkey	DSpace	6.x
16	Baku Higher Oil School	Baku Higher Oil School Repository		academic	Azerbaijan	DSpace	3.x
17	Balıkesir University	Balıkesir University Institutional Repository	balikesir.edu.tr	academic	Turkey	DSpace	6.x
18	Ball State University Libraries	Cardinal Scholar		academic	United States	DSpace	5.x
19	Ballarat Health Services, Australia		bhs.org.au	medical center	Australia	DSpace	1.x
20	BANARS HINDU UNIVERSITY	ResearchGate	researchgate.net	academic	India	DSpace	
21	Banco de la República de Colombia – BanRep	Repositorio Institucional del Banco de la República de Colombia – BanRep		government	Colombia	DSpace	6.x
22	Banco Nacional de Desenvolvimento Econômico e Social	Biblioteca Digital do BNDES		government	Brazil	DSpace	6.x
23	Bangabondhu Shekh Mujib Medical University		bsmmu.org	academic	India	DSpace	
24	Bangalore Management Academy		bma.ac.in	academic	India	DSpace	
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Bangladesh Agricultural University	BAU DSpace		academic	Bangladesh	DSpace	3.x
1	Bangladesh University of Engineering and Technology	BUET Institutional Repository	buet.ac.bd	academic	Bangladesh	DSpace	
2	Bankruptcy Advice Online	Bankruptcy Advice Online	bankruptcyadvice-online.co.uk	commercial/corporate	United Kingdom	DSpace	6.x
3	Baranovichi State University		barsu.by	academic	Belarus	DSpace	
4	Baria - Vungtau University	Dspace of Baria - Vungtau University Library		academic	Vietnam	DSpace	5.x
5	Bartin University	Bartın Üniversitesi Akademik Arşiv Sistemi	bartin.edu.tr	academic	Turkey	DSpace	6.x
6	Bartın Üniversitesi	Bartın Üniversitesi Akademik Arşiv Sistemi			Turkey	DSpace	
7	Bashkir State Medical University	Bashkir State Medical University Repository	bashgmu.ru	academic	Russia	DSpace	
8	Baskent University	DSpace@Baskent - Başkent Üniversitesi		academic	Turkey	DSpace	4.x
9	BASRAH UNIVERSITY /COLLAGE OF SCIENCE			academic	Iraq	DSpace	6.x
10	Batman Üniversitesi	Batman Üniversitesi Akademik Arşiv Sistemi		academic	Turkey	DSpace	
11	Bayburt University	Bayburt University Institutional Repository	bayburt.edu.tr	academic	Turkey	DSpace	6.x
12	Bayerische Staatsbibliothek			public/national library	Germany	DSpace	6.x
13	Baylor University	BEARdocs	tdl.org	academic	US Minor Outlying Islands	DSpace	6.x
14	BBC Engg Colllege			academic	India	DSpace	1.x
15	BC's Office of the Human Rights Commissioner			government	United States	DSpace	7.x
16	BCAM (Basque Center for Applied Mathematics)		bcamath.org	other	Spain	DSpace	5.x
17	Beihang University		buaa.edu.cn	academic	China	DSpace	
18	Belarusian National Technical University	Belarusian National Technical University Repository		academic	Belarus	DSpace	5.x
19	Belarusian State Agrarian Technical University	Репозиторий Белорусского государственного аграрного технического университета	bsatu.by	academic	Belarus	DSpace	6.x
20	Belarusian State Agricultural Academy		elib.baa.by	academic	Belarus	DSpace	1.x
21	Belarusian State Economic University		bseu.by	academic	Belarus	DSpace	
22	Belarusian State Medical University		bsmu.by	academic	Belarus	DSpace	
23	Belarusian State Pedagogical University Repository		bspu.by	academic	Belarus	DSpace	4.x
24	Belarusian State University	Belarusian State University Digital Library		academic	Belarus	DSpace	5.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Belarusian State University		elib.bsu.by	academic	Belarus	DSpace	5.x
1	Belarusian State University			academic	Belarus	DSpace	
2	Belarusian State University of Informatics and Radioelectronics	BSUIR Repository		academic	Belarus	DSpace	
3	Belarusian State University of Transport		bsut.by	academic	Belarus	DSpace	6.x
4	Belarusian Trade and Economics University of Consumer Cooperatives	Electronic library of Belarusian Trade and Economics University of Consumer Cooperatives		academic	Belarus	DSpace	4.x
5	Belarusian-Russian University	Electronic library of Belarusian-Russian University		academic	Belarus	DSpace	
6	Belgium PoisonCentre		poisoncentre.be	non-profit	Belgium	DSpace	1.x
7	Belgorod State University		bsu.edu.ru	academic	Russia	DSpace	
8	Ben-Gurion University of the Negev	Scholars@BGU	bgu.ac.il	academic	Israel	VIVO	
9	Benha Faculty of Engineering	Benha Faculty of Engineering		academic	Egypt	DSpace	
10	Bennington College		dspacedirect.org	academic	United States	DSpace	4.x
11	Berlin University Alliance		berlin-university-alliance.de	academic	Germany	VIVO	
12	Berlin-Brandenburg Academy of Sciences and Humanities	CLARIN service center at the Berlin-Brandenburg Academy of Sciences and Humanities	bbaw.de	research center	Germany	Fedora	3.x
13	BESS Digital Archive		digibess.it	public/national library	Italy	Fedora	
14	BETTY AGAMEZ SERRANO	materias		personal	Colombia	DSpace	6.x
15	Beykent University	Beykent University Institutional Repository		academic	Turkey	DSpace	4.x
16	Beykoz University	Beykoz University Institutional Repository	beykoz.edu.tr	academic	Turkey	DSpace	6.x
17	Bezmialem Vakif University	openaccess.bezmialem.edu.tr	bezmialem.edu.tr	academic	Turkey	DSpace	6.x
18	BGMEA University of Fashion and Technology (BUFT)	BUFT Repository (BUFTR)	buft.edu.bd	academic	Bangladesh	DSpace	6.x
19	Bharat Sharma	Bharat Sharma		personal	India	DSpace	5.x
20	Bharata Mata Institute of Management, Trikkakkara		bmim.org	academic	India	DSpace	1.x
21	BIBB - Bundesinstitut für Berufsbildung	VET Repository		government	Germany	DSpace	6.x
22	Biblioteca Brasiliana Guita e José Mindlin	BBM DIGITAL		public/national library	Brazil	DSpace	5.x
23	Biblioteca BSMU	Репозиторий		medical center	Ukraine	DSpace	6.x
24	Biblioteca Central de la Universidad Nacional de San Martín	Repositorio Institucional de la UNSAM	unsam.edu.ar	academic	Argentina	DSpace	6.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Biblioteca de Obras Raras e Especiais da Universidade de Sao Paulo		bore.usp.br	academic	Brazil	DSpace	1.x
1	Biblioteca del Congreso Nacional	Documentos Asesoria Parlamentaria		government	Chile	DSpace	1.x
2	Biblioteca Digital da Camara dos Deputados		camara.gov.br	government	Brazil	DSpace	1.x
3	Biblioteca Digital da Producao Intelectual da Universidade de Sao Paul		producao.usp.br	academic	Brazil	DSpace	1.x
4	Biblioteca Digital do Senado Federal		senado.gov.br	government	Brazil	DSpace	6.x
5	Biblioteca do Ministério da Fazenda no Rio de Janeiro (BMF/RJ)		memoriaestatistica.com.br	public/national library	Brazil	Fedora	
6	Biblioteca Facultad de Ingeniería, UNMDP		mdp.edu.ar	academic	Argentina	DSpace	
7	Biblioteca Luis Angel Arango		lablaa.org	public/national library	Colombia	DSpace	1.x
8	Biblioteca Municipală B. P. Haşdeu	"Institutional repository of ""B.P. Hasdeu"" Municipal Library"	hasdeu.md	public/national library	Moldova	DSpace	6.x
9	Biblioteca Nacional do Brasil	Brasiliana Fotográfica DIgital		government	Brazil	DSpace	4.x
10	Biblioteca Nacional Pedro Henriquez Ureña Rep. Dom	Biblioteca_Digital_BNPHURD		public/national library	Dominican Republic	DSpace	5.x
11	Biblioteca Universia		universia.net	academic	Spain	DSpace	
12	Biblioteca Virtual de la Cooperacion Internacional		bvcooperacion.pe	public/national library	Peru	DSpace	
13	Biblioteca Virtual del Sistema Sanitario Público de Andalucía	Andalusian Health Repository (Repositorio Institucional de Salud de Andalucia) - RISalud		medical center	Spain	DSpace	4.x
14	Biblioteca Virtual sobre Corrupcao		cgu.gov.br	government	Brazil	DSpace	
15	Biblioteca virtual UNL	BIBLIOTECA		academic	Argentina	DSpace	
16	Biblioteca Wilson Popenoe, Escuela Agricola Panamericana, Zamorano	Biblioteca Digital Wilson Popenoe	zamorano.edu	academic	Honduras	DSpace	6.x
17	Biblioteka Shkencore e Universitetit te Arteve, Tirane	Arkiva Akademike e BSHUA		academic	Albania	DSpace	1.x
18	Bibliothek der Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg	openHSU	hsu-hh.de	academic	Germany	DSpace	5.x
19	Bibliotheksservice-Zentrum Baden-Wurttemberg (BSZ)		bsz-bw.de	academic	Germany	DSpace	3.x
20	Bibliotheque et Archives nationales du Quebec		banq.qc.ca	public/national library	Canada	DSpace	1.x
21	BIBSYS Brage - Norwegian Institute for Air Research		bibsys.no	consortium	Norway	DSpace	
22	BIBSYS Brage Consortium		bibsys.no	academic	Norway	DSpace	4.x
23	BIBSYS Brage_Arkitektur- og designhogskolen i Oslo		bibsys.no	academic	Norway	DSpace	4.x
24	BIBSYS Brage_Det teologiske Menighetsfakultet		bibsys.no	academic	Norway	DSpace	4.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	BIBSYS Brage_Diakonhjemmet høgskole		bibsys.no	academic	Norway	DSpace	4.x
1	BIBSYS Brage_Forsvarets høgskole		bibsys.no	consortium	Norway	DSpace	4.x
2	BIBSYS Brage_Handelshoyskolen BI		bibsys.no	academic	Norway	DSpace	4.x
3	BIBSYS Brage_Haraldsplass diakonale hogskole		bibsys.no	academic	Norway	DSpace	4.x
4	BIBSYS Brage_Havforskningsinstituttet		bibsys.no	academic	Norway	DSpace	4.x
5	BIBSYS Brage_Høgskolen Betanien		bibsys.no	consortium	Norway	DSpace	4.x
6	BIBSYS Brage_Hogskolen i Ålesund		bibsys.no	academic	Norway	DSpace	4.x
7	BIBSYS Brage_Høgskolen i Buskerud og Vestfold		bibsys.no	academic	Norway	DSpace	4.x
8	BIBSYS Brage_Høgskolen i Gjøviks		bibsys.no	academic	Norway	DSpace	4.x
9	BIBSYS Brage_Hogskolen i Harstad		bibsys.no	academic	Norway	DSpace	4.x
10	BIBSYS Brage_Hogskolen i Hedmark		bibsys.no	academic	Norway	DSpace	4.x
11	BIBSYS Brage_Hogskolen i Lillehammer		bibsys.no	academic	Norway	DSpace	4.x
12	BIBSYS Brage_Hogskolen i Molde		bibsys.no	academic	Norway	DSpace	4.x
13	BIBSYS Brage_Hogskolen i Narvik		bibsys.no	academic	Norway	DSpace	4.x
14	BIBSYS Brage_Hogskolen i Nord Trondelag		bibsys.no	academic	Norway	DSpace	4.x
15	BIBSYS Brage_Hogskolen i Ostfold		bibsys.no	academic	Norway	DSpace	4.x
16	BIBSYS Brage_Hogskolen i Sor-Trondelag		bibsys.no	academic	Norway	DSpace	4.x
17	BIBSYS Brage_Hogskolen Stord/Haugesund		bibsys.no	academic	Norway	DSpace	4.x
18	BIBSYS Brage_Høgskulen i Sogn og Fjordane		bibsys.no	academic	Norway	DSpace	4.x
19	BIBSYS Brage_Hogskulen i Volda		bibsys.no	academic	Norway	DSpace	4.x
20	BIBSYS Brage_Høyskolen Diakonova		bibsys.no	consortium	Norway	DSpace	4.x
21	BIBSYS Brage_Krigsskolen		bibsys.no	consortium	Norway	DSpace	4.x
22	BIBSYS Brage_Kunsthøgskolen i Oslo		bibsys.no	consortium	Norway	DSpace	4.x
